promoter_file, motif, number_of_sites, jaspar_file_info, jaspar_info_percentage, e_val, distance, distance_percentage, failure_rate, success_rate, false_positive_rate, false_negative, promoter_size, number_of_sequences, model, markov_order, iterations, stdev(avg_eval), stdev(avg_score), stdev(avg_pscore), stdev(avg_frate), stdev(avg_srate), stdev(avg_fprate), stdev(avg_fn)
'/tmp/testmotif23224_300_20_5.fa', 'MEME-3', 20, 0.6751350662203579, 720000000.0, 9719600000.0, 9.78, 0.4169090909090909, 0.99, 0.01, 0.1, 'statistics.mean(avg_fn)', 300, 20, 'oops', 1, 5, 20294147390.31921, 3.825833242576053, 0.10721694320827961, 0.022360679774997918, 0.022360679774997897, 0.035355339059327376, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_20_5.fa', 'MEME-1', 16.6, 0.6751350662203579, 65000.0, 2120.0256, 9.335941199999999, 0.46436202929292925, 0.1935378218272955, 0.8064621781727045, 0.0125, 'statistics.mean(avg_fn)', 300, 20, 'anr', 0, 5, 3024.378336382421, 4.45572804718036, 0.2644430261808223, 0.03406459273262773, 0.03406459273262772, 0.027950849718747374, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_20_5.fa', 'MEME-2', 7.8, 0.6751350662203579, 65000.0, 75944.4, 21.6509104, 0.4790361824561403, 0.9818181818181818, 0.01818181818181818, 0.13818181818181818, 'statistics.mean(avg_fn)', 300, 20, 'anr', 0, 5, 90134.80324935535, 12.212617552381236, 0.03875726537960733, 0.0406557814090871, 0.040655781409087086, 0.2611481324984692, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_20_5.fa', 'MEME-3', 4.8, 0.6751350662203579, 65000.0, 171800.0, 26.6200058, 0.47990876167209884, 1.0, 0.0, 0.18333333333333332, 'statistics.mean(avg_fn)', 300, 20, 'anr', 0, 5, 134019.40158051744, 16.257376227733772, 0.05154067705894858, 0.0, 0.0, 0.20749832663314552, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_20_5.fa', 'MEME-1', 16.6, 0.6751350662203579, 630000.0, 844.2494, 13.6294868, 0.7470927010101011, 0.22969635627530366, 0.7703036437246964, 0.0, 'statistics.mean(avg_fn)', 300, 20, 'anr', 1, 5, 1165.8128275164072, 4.889691961924872, 0.29395594035937594, 0.10117150005588846, 0.10117150005588846, 0.0, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_20_5.fa', 'MEME-2', 7.2, 0.6751350662203579, 630000.0, 103000.0, 19.241616, 0.45893561695491497, 0.9777777777777777, 0.02222222222222222, 0.12571428571428572, 'statistics.mean(avg_fn)', 300, 20, 'anr', 1, 5, 64007.81202322104, 12.631866992646277, 0.03493632282008018, 0.04969039949999535, 0.04969039949999532, 0.19016641476907126, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_300_20_5.fa', 'MEME-3', 4.8, 0.6751350662203579, 630000.0, 250200.0, 10.741905399999998, 0.36556167357753355, 0.9095238095238095, 0.09047619047619047, 0.0619047619047619, 'statistics.mean(avg_fn)', 300, 20, 'anr', 1, 5, 227453.7315587502, 6.742225833251049, 0.11399241597023088, 0.1308441110860389, 0.13084411108603888, 0.08518354199999198, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_400_10_5.fa', 'MEME-1', 8.2, 0.6751350662203579, 1600000.0, 32623.6, 16.5211116, 0.5133435474192475, 0.675, 0.325, 0.12555555555555556, 'statistics.mean(avg_fn)', 400, 10, 'zoops', 0, 5, 71216.1055155363, 6.580944184772639, 0.13078495421800124, 0.4293891009329417, 0.4293891009329417, 0.09192723907499135, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_400_10_5.fa', 'MEME-2', 6.6, 0.6751350662203579, 1600000.0, 157812.0, 12.16, 0.41583803258145363, 0.925, 0.075, 0.17, 'statistics.mean(avg_fn)', 400, 10, 'zoops', 0, 5, 280590.4857973627, 4.613350192647421, 0.09653638171698323, 0.16770509831248423, 0.16770509831248423, 0.21095023109728986, 'statistics.stdev(avg_fn)'
'/tmp/testmotif23224_400_10_5.fa', 'MEME-3', 6.8, 0.6751350662203579, 1600000.0, 359160.0, 13.614444399999998, 0.4102835195804196, 0.8666666666666667, 0.13333333333333333, 0.14444444444444443, 'statistics.mean(avg_fn)', 400, 10, 'zoops', 0, 5, 695730.9774618348, 6.02343118920697, 0.07699497194388598, 0.29814239699997197, 0.29814239699997197, 0.2208289657150199, 'statistics.stdev(avg_fn)'
